ID,Module,Area,Type,Priority,Status,File Path,Line,Title,Description,Notes
T011,Schema,Booking,Missing,MEDIUM,OPEN,prisma/schema.prisma,596,No discountReason or discountApprovedBy on Booking,"discountAmount exists but no audit trail of who approved a manual discount or why","Add discountReason String? and discountApprovedById String? fields"
T012,Schema,PosSession,Missing,LOW,OPEN,prisma/schema.prisma,718,No reconciledBy/reconciledAt on PosSession,"variance field exists but no reconciliation audit trail","Add reconciledById, reconciledAt, discrepancyReason fields"
T013,Schema,FoodItem,Missing,HIGH,OPEN,prisma/schema.prisma,1230,FoodItem has no inventory/stock quantity field,"isAvailable is boolean-only; no way to track how many units are in stock or trigger low-stock","Add stockQuantity Int? and lowStockThreshold Int? to FoodItem"
T014,Schema,LockerZone,Missing,LOW,OPEN,prisma/schema.prisma,1318,LockerZone missing total capacity field,"Cannot query zone-level occupancy as percentage without counting all locker rows","Add totalCount Int? field"
T015,Schema,CostumeCategory,Missing,LOW,OPEN,prisma/schema.prisma,1397,No aggregate stock count on CostumeCategory,"Must COUNT CostumeItem rows to know total inventory; should have denormalized totalStock","Add totalStock Int @default(0) to CostumeCategory"
T016,Reports,Revenue,Missing,HIGH,OPEN,src/app/api/v1/reports/revenue/route.ts,4,Revenue report endpoint is a stub,"Returns {message: 'TODO'} — no revenue analytics implemented","Needs: daily/monthly revenue by payment method, category, outlet"
T017,Reports,Footfall,Missing,HIGH,OPEN,src/app/api/v1/reports/footfall/route.ts,4,Footfall report endpoint is a stub,"Returns {message: 'TODO'} — no guest capacity/headcount analytics implemented","Needs: entries by date/hour, peak period identification"
T018,Auth,Registration,Missing,MEDIUM,OPEN,src/app/api/v1/auth/register/route.ts,4,Guest registration API is a stub,"GET /api/v1/auth/register returns {message: 'TODO'}","Needs: create User + GuestProfile from form data"
T019,Integrations,WhatsApp,Missing,MEDIUM,OPEN,src/app/api/v1/webhooks/whatsapp/route.ts,5,WhatsApp webhook handler is a stub,"POST /api/v1/webhooks/whatsapp accepts but ignores all incoming messages","Needs: parse Gupshup webhook events and trigger appropriate flows"
T020,Integrations,WhatsApp,Missing,MEDIUM,OPEN,src/lib/gupshup.ts,2,Gupshup SMS/WhatsApp integration unimplemented,"lib/gupshup.ts is empty except a TODO comment","Needs: send message wrapper using Gupshup REST API"
T021,Infrastructure,FileUpload,Missing,MEDIUM,OPEN,src/app/api/v1/upload/route.ts,4,File upload handler is a stub,"GET /api/v1/upload returns {message: 'TODO'}","Used for UPI screenshots and costume/maintenance images; needs S3/R2/local storage"
T022,POS,At-Gate Bundle,Feature,HIGH,OPEN,-,-,Single-transaction booking for tickets + rides + locker + costume + food,"Guests should be able to buy everything at gate in one transaction; QR used at each area","Major feature: needs new API + cart model that supports mixed line items"
T023,QR Scan,Access Control,Feature,HIGH,OPEN,-,-,QR-based access enforcement per service area,"Ride / locker / costume areas should reject QR that doesn't include that service in the booking","Currently only ride access-log enforces this; locker and costume have no QR check"
T024,QR Scan,Locker,Feature,MEDIUM,OPEN,src/app/api/v1/scan/,-, Locker QR scan endpoint missing,"Scan mode 'locker' in scan page just acknowledges; no API to verify locker assignment by booking QR","Create /api/v1/scan/locker POST endpoint"
T025,QR Scan,Costume,Feature,MEDIUM,OPEN,src/app/api/v1/scan/,-,Costume QR scan endpoint missing,"Scan mode 'costume' in scan page just acknowledges; no API to verify costume rental by booking QR","Create /api/v1/scan/costume POST endpoint"
T026,POS,ReceiptModal,Bug,HIGH,DONE,src/components/pos/ReceiptModal.tsx,38,ref prop collision (React reserved keyword),"prop named 'ref' was intercepted by React before reaching component — receiptRef always undefined — receipt fetched as /receipts/undefined","Fixed in this session: renamed to receiptId"
T027,POS,Admin Sidebar,Bug,HIGH,DONE,src/components/admin/Sidebar.tsx,-,POS and QR Scanner not visible in admin nav,"Admin users visiting /admin/* never saw POS or QR Scanner links","Fixed: added Terminal group with POS Terminal + QR Scanner links"
T028,POS,StaffNav,Feature,HIGH,DONE,src/components/staff/StaffNav.tsx,-,QR Scan not visible to scan-role staff,"QR Scan nav item missing; only showed for admins","Fixed: added QR_SCAN_ROLES and ScanLine icon to nav item"
T029,QR Scan,Gate API,Feature,HIGH,DONE,src/app/api/v1/scan/gate/route.ts,-,Gate entry API created,"POST /api/v1/scan/gate marks booking CHECKED_IN; idempotent; date-validates","Implemented in this session"
T030,QR Scan,Lookup API,Feature,HIGH,DONE,src/app/api/v1/scan/lookup/route.ts,-,Scan lookup API created,"GET /api/v1/scan/lookup returns full booking + validity + rideUsage before operator confirms","Implemented in this session"
T031,QR Scan,Scan Page,Feature,HIGH,DONE,src/app/(staff)/staff/scan/page.tsx,-,Comprehensive QR scan page created,"Mode selector gate/ride/locker/costume/info; two-phase lookup+confirm flow; ride usage display","Implemented in this session"
T032,Booking,Ticket Selector,Feature,HIGH,DONE,src/components/booking/TicketSelector.tsx,-,Per-ticket-type quantity selector,"Replaced adult/child model with individual +/- counters per ticket type","Implemented in previous session"
T033,Inventory,Lockers,Feature,MEDIUM,OPEN,src/app/admin/lockers/,-,Low-stock / availability dashboard for lockers,"No aggregate view showing available vs. assigned vs. maintenance count per zone","Admin page exists but may lack summary widgets"
T034,Inventory,Costumes,Feature,MEDIUM,OPEN,src/app/admin/costumes/,-,Low-stock alerts for costumes by category and size,"No mechanism to flag when a costume size is out of stock","Needs: inventory count query + alert threshold"
T035,Inventory,Food,Feature,HIGH,OPEN,src/app/admin/food/,-,Food item stock tracking entirely missing,"FoodItem.isAvailable is boolean only; no quantity or depletion tracking","Schema change required: add stockQuantity field"
T036,Loyalty,Expiry,Feature,LOW,OPEN,prisma/schema.prisma,-,Loyalty points expiry not enforced,"LoyaltyTransaction model exists but no cron/job to expire points","Needs: scheduled job to mark expired points and reduce balance"
T037,Maintenance,Escalation,Feature,LOW,OPEN,src/app/api/v1/maintenance/,-,Work order SLA escalation not implemented,"WorkOrder status machine exists but no SLA breach detection or escalation notifications","Needs: cron job or trigger to check overdue work orders"
T038,POS,Double-Click,Bug,LOW,OPEN,src/components/pos/LockerTerminal.tsx,145,No double-click protection on locker release,"Release button can be clicked twice before response arrives creating duplicate transactions","Fix: disable button while request in-flight"
T039,POS,Double-Click,Bug,LOW,OPEN,src/components/pos/CostumeTerminal.tsx,163,No double-click protection on costume return,"Return button can be clicked twice before response arrives","Fix: disable button while request in-flight"
T040,Hardcode,API,Hardcoded,MEDIUM,OPEN,src/app/api/v1/pos/ticket-sale/route.ts,274,App URL hardcoded with localhost fallback,"process.env.NEXT_PUBLIC_APP_URL ?? 'http://localhost:3000' — email QR link broken in production if env not set","Move to required env var with build-time check"
T041,Hardcode,POS,Hardcoded,MEDIUM,OPEN,src/components/pos/TicketTerminal.tsx,64,Default mobile '9000000000' used as fallback,"When guest doesn't provide mobile, API receives '9000000000' which passes validation but is fake data","Make mobile truly optional in both UI and API; store null instead of fake number"
T042,Hardcode,Scan,Hardcoded,LOW,OPEN,src/app/(staff)/staff/scan/page.tsx,159,Auto-reset timer hardcoded to 7 seconds,"7000ms timer before scan page resets is hardcoded; should be a configurable park setting","Minor; move to constant or settings"
T043,POS,Cart,Feature,MEDIUM,OPEN,-,-,Cart does not support add-on services (locker/costume/food) as line items,"Currently cart only supports ticket types; bundle purchase requires separate terminals","Needs: new CartItem type with serviceType discriminator"
T044,Security,QR,Feature,MEDIUM,OPEN,-,-,QR code content is plain JSON — not signed/encrypted,"Anyone who reads the QR can craft a fake QR with a valid bookingNumber","Consider HMAC-signed payload or at minimum server-side validation of all fields"
T045,UX,Scan Page,Feature,LOW,OPEN,src/app/(staff)/staff/scan/page.tsx,-,Camera-based QR scanning not supported,"Scan page only accepts typed/keyboard-wedge input; no camera scan option for mobile staff","Add HTML5 camera QR scanning using jsQR or @zxing/browser"
